date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:07	86667/86667	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:06%20GMT	https://tailwindcss.com/docs/box-sizing/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/box-sizing/index.html	(from https://tailwindcss.com/)
08:37:07	12029/12029	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:07%20GMT	https://tailwindcss.com/docs/float	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/float	(from https://tailwindcss.com/)
08:37:07	99375/99375	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:07%20GMT	https://tailwindcss.com/docs/display/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/display/index.html	(from https://tailwindcss.com/)
08:37:07	99075/99075	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:07%20GMT	https://tailwindcss.com/docs/float/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/float/index.html	(from https://tailwindcss.com/)
08:37:07	11923/11923	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:07%20GMT	https://tailwindcss.com/docs/clear	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/clear	(from https://tailwindcss.com/)
08:37:08	11612/11612	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:08%20GMT	https://tailwindcss.com/docs/object-fit	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/object-fit	(from https://tailwindcss.com/)
08:37:08	96688/96688	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:08%20GMT	https://tailwindcss.com/docs/clear/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/clear/index.html	(from https://tailwindcss.com/)
08:37:09	11850/11850	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:09%20GMT	https://tailwindcss.com/docs/object-position	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/object-position	(from https://tailwindcss.com/)
08:37:09	91183/91183	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:09%20GMT	https://tailwindcss.com/docs/object-fit/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/object-fit/index.html	(from https://tailwindcss.com/)
08:37:10	14483/14483	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:10%20GMT	https://tailwindcss.com/docs/overflow	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/overflow	(from https://tailwindcss.com/)
08:37:10	94083/94083	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:10%20GMT	https://tailwindcss.com/docs/object-position/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/object-position/index.html	(from https://tailwindcss.com/)
08:37:11	120827/120827	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2011:37:10%20GMT	https://tailwindcss.com/docs/overflow/	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/overflow/index.html	(from https://tailwindcss.com/)
08:37:11	13850/13850	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:10%20GMT	https://tailwindcss.com/docs/position	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/position	(from https://tailwindcss.com/)
08:37:11	12159/12159	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Feb%202020%2011:37:11%20GMT	https://tailwindcss.com/docs/top-right-bottom-left	C:/Users/Mixtutoriais/Desktop/Meus%20sites/TailwindCSS/tailwindcss.com/docs/top-right-bottom-left	(from https://tailwindcss.com/)
